00      0000  0
01      0000  0
02  C2  0430  1072
03 C#2  0470  1136
04  D2  04b4  1204
05 D#2  04fb  1275
06  E2  0547  1351
07  F2  0588  1416
08 F#2  05ed  1517
09  G2  0647  1607
0a G#2  06a7  1703
0b  A2  070c  1804
0c A#2  0777  1911
0d  B2  07e9  2025
0e  C3  0861  2145
0f C#3  08e1  2273
10  D3  0968  2408
11 D#3  09f7  2551
12  E3  0a8f  2703
13  F3  0b30  2864
14 F#3  0bda  3034
15  G3  0c8f  3215
16 G#3  0d4e  3406
17  A3  0e18  3608
18 A#3  0eef  3823
19  B3  0fd2  4050
1a  C4  10c3  4291
1b C#4  11c3  4547
1c  D4  12d1  4817
1d D#4  13ef  5103
1e  E4  151f  5407
1f  F4  1660  5728
20 F#4  17b5  6069
21  G4  191e  6430
22 G#4  1a9c  6812
23  A4  1c31  7217
24 A#4  1ddf  7647
25  B4  1fa5  8101
26  C5  2187  8583
27 C#5  2386  9094
28  D5  25a2  9634
29 D#5  27df  10207
2a  E5  2a3e  10814
2b  F5  2cc1  11457
2c F#5  2f6b  12139
2d  G5  323c  12860
2e G#5  3539  13625
2f  A5  3863  14435
30 A#5  3bbe  15294
31  B5  3f4b  16203
32  C6  430f  17167
33 C#6  470c  18188
34  D6  4b45  19269
35 D#6  4fbf  20415
36  E6  547d  21629
37  F6  5983  22915
38 F#6  5ed6  24278
39  G6  6479  25721
3a G#6  6a73  27251
3b  A6  70c7  28871
3c A#6  777c  30588
3d  B6  7e97  32407
3e  C7  861e  34334
3f      0000  0
